iso,name_en,lat,lon
KE-30,Baringo,0.726,36.019
KE-36,Bomet,-0.716,35.238
KE-39,Bungoma,0.786,34.719
KE-40,Busia,0.376,34.265
KE-28,Elgeyo-Marakwet,0.745,35.561
KE-14,Embu,-0.533,37.665
KE-7,Garissa,-0.52,40.356
KE-43,Homa Bay,-0.562,34.315
KE-11,Isiolo,1.006,38.748
KE-34,Kajiado,-2.112,36.778
KE-37,Kakamega,0.497,34.801
KE-35,Kericho,-0.317,35.226
KE-22,Kiambu,-1.034,36.843
KE-3,Kilifi,-3.152,39.673
KE-20,Kirinyaga,-0.467,37.302
KE-45,Kisii,-0.737,34.754
KE-42,Kisumu,-0.194,34.777
KE-15,Kitui,-1.56,38.372
KE-2,Kwale,-4.121,39.066
KE-31,Laikipia,0.289,36.825
KE-5,Lamu,-2.064,40.546
KE-16,Machakos,-1.276,37.395
KE-17,Makueni,-2.254,37.877
KE-9,Mandera,3.231,40.711
KE-10,Marsabit,2.86,37.715
KE-12,Meru,0.229,37.776
KE-44,Migori,-1.019,34.309
KE-1,Mombasa,-3.99,39.701
KE-21,Murang'a,-0.829,37.004
KE-47,Nairobi,-1.3,36.828
KE-29,Nandi,0.227,35.124
KE-33,Narok,-1.28,35.476
KE-46,Nyamira,-0.649,34.933
KE-18,Nyandarua,-0.389,36.497
KE-19,Nyeri,-0.314,36.93
KE-25,Samburu,1.541,36.942
KE-41,Siaya,-0.058,34.2
KE-6,Taita Taveta,-3.405,38.372
KE-4,Tana River,-1.535,39.55
KE-13,Tharaka-Nithi,-0.191,37.96
KE-26,Trans Nzoia,1.046,34.981
KE-23,Turkana,3.162,35.313
KE-27,Uasin Gishu,0.478,35.304
KE-38,Vihiga,0.085,34.708
KE-8,Wajir,1.94,40.025
KE-24,West Pokot,1.893,35.213
KE-32,Nakuru,-0.458,36.1
