iso,name_en,lat,lon
,Boeny,-16.3187,46.3149
,Sofia,-15.2909,48.4645
,Diana,-13.5916,49.08
,Sava,-14.3074,49.8621
,Analanjirofo,-16.5763,49.5586
,Atsinanana,-18.9143,48.9044
,Vatovavy-Fitovinany,-21.399,47.921
,Atsimo-Atsinanana,-23.3142,47.3774
,Anosy,-24.22,46.2904
,Androy,-24.8192,45.5069
,Atsimo-Andrefana,-23.3142,44.4011
,Menabe,-20.3119,45.0481
,Melaky,-17.6203,44.8928
,Analamanga,-18.4743,47.481
,Betsiboka,-17.232,47.1963
,Bongolava,-18.6296,46.1092
,Vakinankaratra,-19.7425,46.8857
,Amoron'i Mania,-20.5449,46.7822
,Alaotra-Mangoro,-17.8014,48.3868
,Ihorombe,-22.4083,46.2128
,Haute Matsiatra,-21.4423,46.5733
,Itasy,-18.9938,46.7662
