Total conversions: 62

CZ-A → CZ-10
CZ-B → CZ-31
CZ-JC → CZ-31
CZ-KA → CZ-41
CZ-KR → CZ-42
CZ-LI → CZ-51
CZ-MO → CZ-80
CZ-OL → CZ-71
CZ-PA → CZ-53
CZ-PL → CZ-32
CZ-ST → CZ-72
CZ-US → CZ-42
CZ-VY → CZ-63
CZ-ZL → CZ-64
ML-segou → ML-4
PA-chiriqui → PA-4
PA-cocle → PA-2
PA-colon → PA-3
PA-darien → PA-5
PA-panama → PA-8
PL-DS → PL-02
PL-KP → PL-04
PL-LB → PL-06
PL-LD → PL-10
PL-LU → PL-06
PL-MA → PL-12
PL-MZ → PL-14
PL-OP → PL-16
PL-PD → PL-18
PL-PK → PL-20
PL-PM → PL-22
PL-SK → PL-24
PL-SL → PL-24
PL-WN → PL-28
PL-WP → PL-30
PL-ZP → PL-32
UG-C → UG-102
UG-E → UG-103
UG-N → UG-104
UG-W → UG-105
GT-GU → GT-01
GT-PR → GT-02
GT-SA → GT-03
GT-CM → GT-04
GT-ES → GT-05
GT-SR → GT-06
GT-SO → GT-07
GT-TO → GT-08
GT-QZ → GT-09
GT-SU → GT-10
GT-RE → GT-11
GT-SM → GT-12
GT-HU → GT-13
GT-QC → GT-14
GT-BV → GT-15
GT-AV → GT-16
GT-PE → GT-17
GT-IZ → GT-18
GT-ZA → GT-19
GT-CQ → GT-20
GT-JA → GT-21
GT-JU → GT-22
